s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
7153;23.0333;60.05;15;106;20;15;2010;141
7155;22.75;60.4333;50;106;20;15;2010;144
7156;26.1667;60.6167;30;106;20;15;2010;157
7159;25.0333;61.3833;120;106;20;15;2010;139
7160;23.0333;62.0167;113;106;20;15;2010;151
7163;29.3167;61.8;81;106;20;15;2010;135
7164;27.05;62.6333;119;106;20;15;2010;141
7165;29.7167;62.6;80;106;20;15;2010;150
7166;30.9667;62.7667;148;106;20;15;2010;151
7168;29.0167;63.55;142;106;20;15;2010;152
7172;23.8833;63.9167;40;106;20;15;2010;151
7173;26;64.8;25;106;20;15;2010;154
7174;28.05;64.65;295;106;20;15;2010;163
7175;29.3;66.3667;170;106;20;15;2010;166
7178;29.6;67.7333;320;106;20;15;2010;182
7180;23.8167;67.35;160;106;20;15;2010;165
7187;28.4;66.8167;195;106;20;15;2010;163
7153;23.0333;60.05;15;106;21;15;2010;151
7155;22.75;60.4333;50;106;21;15;2010;153
7156;26.1667;60.6167;30;106;21;15;2010;156
7159;25.0333;61.3833;120;106;21;15;2010;148
7160;23.0333;62.0167;113;106;21;15;2010;153
7163;29.3167;61.8;81;106;21;15;2010;139
7164;27.05;62.6333;119;106;21;15;2010;141
7165;29.7167;62.6;80;106;21;15;2010;150
7166;30.9667;62.7667;148;106;21;15;2010;151
7168;29.0167;63.55;142;106;21;15;2010;152
7172;23.8833;63.9167;40;106;21;15;2010;151
7173;26;64.8;25;106;21;15;2010;157
7174;28.05;64.65;295;106;21;15;2010;164
7175;29.3;66.3667;170;106;21;15;2010;166
7178;29.6;67.7333;320;106;21;15;2010;182
7180;23.8167;67.35;160;106;21;15;2010;167
7184;27.1;69.05;155;106;21;15;2010;179
7185;27;69.75;120;106;21;15;2010;179
7187;28.4;66.8167;195;106;21;15;2010;164
7153;23.0333;60.05;15;106;20;15;2011;144
7154;24.9833;60.35;55;106;20;15;2011;144
7155;22.75;60.4333;50;106;20;15;2011;154
7156;26.1667;60.6167;30;106;20;15;2011;149
7159;25.0333;61.3833;120;106;20;15;2011;147
7163;29.3167;61.8;81;106;20;15;2011;147
7164;27.05;62.6333;119;106;20;15;2011;146
7165;29.7167;62.6;80;106;20;15;2011;153
7168;29.0167;63.55;142;106;20;15;2011;156
