s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
6714;7.56667;46.5;1350;129;71;13;2012;141
6715;8.66667;46.8667;470;129;71;13;2012;118
6716;9.41667;46.6;985;129;71;13;2012;129
6717;9.41667;47.3333;775;129;71;13;2012;128
6719;8.71667;46.2333;350;129;71;13;2012;103
6720;9.48333;47.0833;480;129;71;13;2012;121
6722;8.88333;47.3667;640;129;71;13;2012;116
6723;7.16667;47.2667;930;129;71;13;2012;127
6724;7.25;47.1333;490;129;71;13;2012;116
6725;8.45;47.35;500;129;71;13;2012;120
6727;9.55;46.3333;825;129;71;13;2012;129
6728;9.46667;47.15;450;129;71;13;2012;118
6729;6.01667;46.1833;400;129;71;13;2012;119
6730;6.9;47.05;800;129;71;13;2012;136
6731;8.6;46.3167;430;129;71;13;2012;122
6734;6.98333;47.05;1150;129;71;13;2012;125
6735;9.51667;46.85;600;129;71;13;2012;116
6736;9.51667;46.85;600;129;71;13;2012;111
6737;6.63333;46.9167;750;129;71;13;2012;116
6738;8.75;47.6833;410;129;71;13;2012;105
6739;8.75;47.6833;410;129;71;13;2012;115
6742;9.16667;46.9167;1000;129;71;13;2012;123
6744;8.06667;46.9833;765;129;71;13;2012;119
6745;7.93333;46.9;910;129;71;13;2012;120
6746;6.85;46.8333;450;129;71;13;2012;117
6748;8.13333;46.4;1100;129;71;13;2012;134
6749;9.18333;47.4167;630;129;71;13;2012;121
6750;8.88333;47.55;405;129;71;13;2012;116
6755;8.45;47.7;430;129;71;13;2012;103
6756;9.43333;47.45;800;129;71;13;2012;120
6757;7.7;47.1833;450;129;71;13;2012;100
6759;8.58333;47.2667;450;129;71;13;2012;112
6761;9.71667;46.9333;800;129;71;13;2012;128
6764;7.01667;46.3333;1250;129;71;13;2012;131
6766;7.73333;47.4833;350;129;71;13;2012;120
6767;9;46.9167;650;129;71;13;2012;124
6768;8.8;46.1667;200;129;71;13;2012;85
6770;8.31667;47.05;600;129;71;13;2012;111
6771;8.2;46.7167;850;129;71;13;2012;121
6772;8.61667;47.7667;540;129;71;13;2012;113
6775;7.38333;46.3833;530;129;71;13;2012;122
6776;9.21667;47.1;500;129;71;13;2012;114
6777;8.33333;47.2667;550;129;71;13;2012;102
6778;9.06667;47.1;440;129;71;13;2012;119
6779;8.61667;47.6833;435;129;71;13;2012;108
6782;7.61667;47.1333;485;129;71;13;2012;110
6783;7.61667;47.1333;485;129;71;13;2012;119
6785;8.48333;47.65;410;129;71;13;2012;100
6787;8.63333;46.4;750;129;71;13;2012;119
6788;8.55;47.6167;515;129;71;13;2012;104
6789;9.05;47.6333;595;129;71;13;2012;115
6792;9.05;45.85;670;129;71;13;2012;128
6793;9.43333;47.05;480;129;71;13;2012;103
6794;8;47.3667;450;129;71;13;2012;103
6795;10.3;46.8;1240;129;71;13;2012;131
6798;8.58333;47.2167;480;129;71;13;2012;109
6799;8.66667;46.7833;510;129;71;13;2012;113
6800;9.6;46.35;1000;129;71;13;2012;127
6804;6.16667;46.2833;440;129;71;13;2012;117
6805;8.15;47.4667;415;129;71;13;2012;113
6808;8.68333;47.2167;480;129;71;13;2012;113
6811;9.35;47.2;1100;129;71;13;2012;133
6812;8.03333;47.2833;650;129;71;13;2012;118
6813;9.05;47.4667;600;129;71;13;2012;119
6814;8.73333;47.5;580;129;71;13;2012;108
6815;8.08333;47.05;580;129;71;13;2012;122
6817;7.81667;47.25;450;129;71;13;2012;99
6818;7.81667;47.0833;850;129;71;13;2012;122
6820;8.51667;47.35;530;129;71;13;2012;124
6821;8.56667;47.3833;555;129;71;13;2012;118
6823;8.58333;47.3667;620;129;71;13;2012;111
6824;7.36667;46.55;965;129;71;13;2012;109
6825;6.6;46.9833;1050;129;71;13;2012;126
6826;7.08333;46.25;1100;129;71;13;2012;131
6830;7.18333;46.65;1050;129;71;13;2012;121
6832;6.48333;46.75;660;129;71;13;2012;102
6834;6.75;47.05;1020;129;71;13;2012;140
6835;9.35;47.3833;825;129;71;13;2012;125
6836;7.06667;46.2667;1100;129;71;13;2012;132
6837;8.81667;47.3167;555;129;71;13;2012;126
6839;9.68333;46.9667;700;129;71;13;2012;122
6841;7.21667;47.3833;865;129;71;13;2012;146
6846;8.6;46.2333;1100;129;71;13;2012;124
6852;8.33333;47.05;820;129;71;13;2012;111
6854;8.85;46.7;1200;129;71;13;2012;130
6856;8.78333;46.1667;370;129;71;13;2012;113
7021;10.1167;46.2667;800;129;71;13;2012;116
7022;8.06667;47.5667;330;129;71;13;2012;118
7023;8.25;46.9;500;129;71;13;2012;119
7025;7.91667;46.6;1300;129;71;13;2012;132
6715;8.66667;46.8667;470;129;71;13;2013;116
6716;9.41667;46.6;985;129;71;13;2013;126
6717;9.41667;47.3333;775;129;71;13;2013;126
6719;8.71667;46.2333;350;129;71;13;2013;110
6720;9.48333;47.0833;480;129;71;13;2013;123
6722;8.88333;47.3667;640;129;71;13;2013;122
6723;7.16667;47.2667;930;129;71;13;2013;140
6724;7.25;47.1333;490;129;71;13;2013;120
6725;8.45;47.35;500;129;71;13;2013;121
6727;9.55;46.3333;825;129;71;13;2013;129
6728;9.46667;47.15;450;129;71;13;2013;115
6729;6.01667;46.1833;400;129;71;13;2013;120
6730;6.9;47.05;800;129;71;13;2013;126
6731;8.6;46.3167;430;129;71;13;2013;128
6732;6.23333;46.4;435;129;71;13;2013;113
6734;6.98333;47.05;1150;129;71;13;2013;139
6735;9.51667;46.85;600;129;71;13;2013;110
6736;9.51667;46.85;600;129;71;13;2013;113
6737;6.63333;46.9167;750;129;71;13;2013;163
6738;8.75;47.6833;410;129;71;13;2013;105
