Species,plant_id,cult_id,,,,Phenophases,Code
Acer platinoides,115,30,,,,First leaves seperated (mouse ears),10
Acer pseudoplatanus,115,31,,,,Leaf unfolding (first visable leaf stalk),11
Aeculus hippocastenum,101,0,,,,Leaf unfolding (50%),13
Alnus glutinosa,102,40,,,,Leaf unfolding (5.true leaves),15
Alnus incanca,102,41,,,,Lead unfolding (9.true leaves),19
Betula,106,,,,,Beginning of flowering,60
Betula pendula (B. verrucosa| B. alba),106,20,,,,Flowering 10% (male),61
Castinea sativa,,,,,,Full flowering,65
Corylus avellana,107,0,,,,End of Flowering,69
Fagus sylvatica,108,10,,,,,
Fraxinus excelsior,120,0,,,,,
Larix deciduua,122,0,,,,,
Populus tremula,669,60,,,,,
Prunus avium,222,,,,,,
Prunus padus,135,0,,,,,
Prunus spinosa,123,0,,,,,
Quercus robur,111,634,,,,,
Quercus,111,,,,,,
Robinia pseudoacacia,124,0,,,,,
Salix caprea,125,50,,,,,
Sambucus nigra,112,90,,,,,
Sambucus racemosa,112,91,,,,,
Sorbus acuparia,126,0,,,,,
Syringa vulgaris,127,0,,,,,
Tilia cordata,129,70,,,,,
Tilia platyphyllos,129,71,,,,,
Ulmus glabra,147,411,,,,,
Viburnum opulus,162,450,,,,,
