s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
7154;24.9833;60.35;55;106;20;61;2010;134
7155;22.75;60.4333;50;106;20;61;2010;133
7156;26.1667;60.6167;30;106;20;61;2010;133
7159;25.0333;61.3833;120;106;20;61;2010;134
7160;23.0333;62.0167;113;106;20;61;2010;134
7163;29.3167;61.8;81;106;20;61;2010;133
7164;27.05;62.6333;119;106;20;61;2010;134
7165;29.7167;62.6;80;106;20;61;2010;134
7166;30.9667;62.7667;148;106;20;61;2010;134
7168;29.0167;63.55;142;106;20;61;2010;135
7172;23.8833;63.9167;40;106;20;61;2010;135
7173;26;64.8;25;106;20;61;2010;135
7174;28.05;64.65;295;106;20;61;2010;140
7175;29.3;66.3667;170;106;20;61;2010;142
7178;29.6;67.7333;320;106;20;61;2010;144
7180;23.8167;67.35;160;106;20;61;2010;144
7187;28.4;66.8167;195;106;20;61;2010;140
7153;23.0333;60.05;15;106;21;61;2010;137
7155;22.75;60.4333;50;106;21;61;2010;137
7156;26.1667;60.6167;30;106;21;61;2010;136
7159;25.0333;61.3833;120;106;21;61;2010;138
7163;29.3167;61.8;81;106;21;61;2010;135
7164;27.05;62.6333;119;106;21;61;2010;133
7165;29.7167;62.6;80;106;21;61;2010;135
7166;30.9667;62.7667;148;106;21;61;2010;136
7168;29.0167;63.55;142;106;21;61;2010;136
7172;23.8833;63.9167;40;106;21;61;2010;136
7173;26;64.8;25;106;21;61;2010;135
7174;28.05;64.65;295;106;21;61;2010;140
7175;29.3;66.3667;170;106;21;61;2010;140
7178;29.6;67.7333;320;106;21;61;2010;144
7180;23.8167;67.35;160;106;21;61;2010;144
7181;24.15;68.0167;275;106;21;61;2010;160
7184;27.1;69.05;155;106;21;61;2010;163
7185;27;69.75;120;106;21;61;2010;160
7187;28.4;66.8167;195;106;21;61;2010;139
7154;24.9833;60.35;55;106;20;61;2011;129
7155;22.75;60.4333;50;106;20;61;2011;124
7156;26.1667;60.6167;30;106;20;61;2011;123
7159;25.0333;61.3833;120;106;20;61;2011;130
7163;29.3167;61.8;81;106;20;61;2011;129
7172;23.8833;63.9167;40;106;20;61;2011;138
7173;26;64.8;25;106;20;61;2011;130
7180;23.8167;67.35;160;106;20;61;2011;146
7187;28.4;66.8167;195;106;20;61;2011;157
7155;22.75;60.4333;50;106;21;61;2011;133
7156;26.1667;60.6167;30;106;21;61;2011;129
7163;29.3167;61.8;81;106;21;61;2011;133
7172;23.8833;63.9167;40;106;21;61;2011;137
7173;26;64.8;25;106;21;61;2011;132
7175;29.3;66.3667;170;106;21;61;2011;150
7180;23.8167;67.35;160;106;21;61;2011;146
7185;27;69.75;120;106;21;61;2011;157
7187;28.4;66.8167;195;106;21;61;2011;155
7153;23.0333;60.05;15;106;20;61;2012;127
7155;22.75;60.4333;50;106;20;61;2012;126
7156;26.1667;60.6167;30;106;20;61;2012;122
7159;25.0333;61.3833;120;106;20;61;2012;132
7160;23.0333;62.0167;113;106;20;61;2012;133
7163;29.3167;61.8;81;106;20;61;2012;131
7164;27.05;62.6333;119;106;20;61;2012;131
7165;29.7167;62.6;80;106;20;61;2012;137
7172;23.8833;63.9167;40;106;20;61;2012;142
7173;26;64.8;25;106;20;61;2012;140
7175;29.3;66.3667;170;106;20;61;2012;146
7178;29.6;67.7333;320;106;20;61;2012;162
7180;23.8167;67.35;160;106;20;61;2012;156
7153;23.0333;60.05;15;106;21;61;2012;135
7155;22.75;60.4333;50;106;21;61;2012;137
7156;26.1667;60.6167;30;106;21;61;2012;133
7159;25.0333;61.3833;120;106;21;61;2012;143
7160;23.0333;62.0167;113;106;21;61;2012;137
7163;29.3167;61.8;81;106;21;61;2012;136
7164;27.05;62.6333;119;106;21;61;2012;131
7165;29.7167;62.6;80;106;21;61;2012;138
7172;23.8833;63.9167;40;106;21;61;2012;141
7173;26;64.8;25;106;21;61;2012;143
7175;29.3;66.3667;170;106;21;61;2012;146
7178;29.6;67.7333;320;106;21;61;2012;157
7180;23.8167;67.35;160;106;21;61;2012;156
7184;27.1;69.05;155;106;21;61;2012;170
7185;27;69.75;120;106;21;61;2012;165
7155;22.75;60.4333;50;106;20;61;2013;136
7155;22.75;60.4333;50;106;21;61;2013;140
7156;26.1667;60.6167;30;106;21;61;2013;130
7163;29.3167;61.8;81;106;21;61;2013;136
7184;27.1;69.05;155;106;21;61;2013;156
7185;27;69.75;120;106;21;61;2013;148
7153;23.0333;60.05;15;106;20;61;2014;115
7154;24.9833;60.35;55;106;20;61;2014;117
7155;22.75;60.4333;50;106;20;61;2014;115
7156;26.1667;60.6167;30;106;20;61;2014;117
7159;25.0333;61.3833;120;106;20;61;2014;120
7160;23.0333;62.0167;113;106;20;61;2014;124
7163;29.3167;61.8;81;106;20;61;2014;122
7164;27.05;62.6333;119;106;20;61;2014;132
7165;29.7167;62.6;80;106;20;61;2014;135
7173;26;64.8;25;106;20;61;2014;134
7174;28.05;64.65;295;106;20;61;2014;143
7180;23.8167;67.35;160;106;20;61;2014;146
7153;23.0333;60.05;15;106;21;61;2014;119
7154;24.9833;60.35;55;106;21;61;2014;127
7155;22.75;60.4333;50;106;21;61;2014;135
7156;26.1667;60.6167;30;106;21;61;2014;129
7159;25.0333;61.3833;120;106;21;61;2014;140
7160;23.0333;62.0167;113;106;21;61;2014;136
7163;29.3167;61.8;81;106;21;61;2014;136
7165;29.7167;62.6;80;106;21;61;2014;139
7173;26;64.8;25;106;21;61;2014;138
7174;28.05;64.65;295;106;21;61;2014;143
7178;29.6;67.7333;320;106;21;61;2014;153
7180;23.8167;67.35;160;106;21;61;2014;146
7184;27.1;69.05;155;106;21;61;2014;155
7185;27;69.75;120;106;21;61;2014;156
7155;22.75;60.4333;50;106;20;61;2015;135
7156;26.1667;60.6167;30;106;20;61;2015;131
7160;23.0333;62.0167;113;106;20;61;2015;138
7172;23.8833;63.9167;40;106;20;61;2015;148
7173;26;64.8;25;106;20;61;2015;131
7180;23.8167;67.35;160;106;20;61;2015;141
7154;24.9833;60.35;55;106;21;61;2015;136
7155;22.75;60.4333;50;106;21;61;2015;139
7156;26.1667;60.6167;30;106;21;61;2015;133
7160;23.0333;62.0167;113;106;21;61;2015;138
7163;29.3167;61.8;81;106;21;61;2015;138
7173;26;64.8;25;106;21;61;2015;136
7178;29.6;67.7333;320;106;21;61;2015;156
7185;27;69.75;120;106;21;61;2015;159
