s_id;lon;lat;alt;plant_id;cult_id;bbch;year;day
19499;15.9125;38.24;530;124;0;61;2010;131
19506;8.02083;44.8528;419;124;0;61;2010;133
19510;10.4022;42.8142;100;124;0;61;2010;115
19498;16.9667;39.1667;52;124;0;61;2011;109
19501;16.2906;38.7894;525;124;0;61;2011;116
19510;10.4022;42.8142;100;124;0;61;2011;118
19522;12.5247;41.8661;27;124;0;61;2011;117
20365;16.2183;38.1522;10;124;0;61;2011;116
20373;12.7819;41.6883;329;124;0;61;2011;110
19497;11.1514;46.0769;420;124;0;61;2012;131
19498;16.9667;39.1667;52;124;0;61;2012;115
20373;12.7819;41.6883;329;124;0;61;2012;114
20374;11.4003;42.8219;320;124;0;61;2012;118
20366;11.1017;43.7219;120;124;0;61;2013;127
20370;8.75694;44.64;350;124;0;61;2013;138
